id,rootname,filter,expstart,targname
289861,idz301e0q,F814W,58586.80078,LAWD-37-SOURCE
290602,idpv55guq,F606W,58603.60547,PSZ1-ARC
290600,idpv55gwq,F606W,58603.65625,PSZ1-ARC
290728,idyz02ohq,F606W,58605.64063,P2019A4-V2
290727,idyz03npq,F606W,58605.32813,P2019A4-V2
290724,idyz03nqq,F606W,58605.36719,P2019A4-V2
290726,idyz03nrq,F606W,58605.375,P2019A4-V2
290725,idyz03nsq,F606W,58605.38281,P2019A4-V2
293653,iduf01zmq,F336W,58648.73047,ASASSN-15LH
293655,iduf01znq,F606W,58648.75781,ASASSN-15LH
293651,iduf01zpq,F606W,58648.76953,ASASSN-15LH
293657,iduf01zqq,F606W,58648.77734,ASASSN-15LH
293652,iduf01zsq,F606W,58648.78906,ASASSN-15LH
294330,idy63calq,F606W,58655.70703,2004HE79
294335,idy63camq,F606W,58655.71094,2004HE79
294333,idy63canq,F606W,58655.71484,2004HE79
294331,idy63caoq,F606W,58655.71875,2004HE79
297114,idxr02hwq,F814W,58701.67188,IC-5332
297099,idxr02i1q,F336W,58701.68359,IC-5332
297115,idxr02i7q,F555W,58701.69922,IC-5332
297112,idxr02i9q,F814W,58701.73828,IC-5332
297106,idxr02ieq,F336W,58701.75,IC-5332
297109,idxr02ikq,F555W,58701.76563,IC-5332
299073,idxb49aeq,F555W,58719.21484,N7678
300860,idy011b4q,F814W,58746.70313,NGC-1404
301207,idxr34dcq,F814W,58749.54297,NGC-685
301216,idxr34doq,F555W,58749.57031,NGC-685
301209,idxr34dqq,F814W,58749.60938,NGC-685
301217,idxr34e1q,F555W,58749.63672,NGC-685
301687,ie6jy4krq,F606W,58754.44531,AT2019OSY
303302,idz303u2q,F814W,58781.24609,LAWD-37-SOURCE
304117,idz801whq,F555W,58794.78906,SN2017EIN
304111,idz801wjq,F814W,58794.79688,SN2017EIN
304115,idz801wlq,F814W,58794.80469,SN2017EIN
304759,idxo03gpq,F814W,58803.3125,WG0214-2105
304764,idxo03gsq,F814W,58803.32031,WG0214-2105
305131,ie3407acq,F555W,58805.05859,J1305-SOURCE
306505,idy688jaq,F606W,58820.39063,2015VV169
306502,idy688jbq,F606W,58820.39453,2015VV169
306503,idy688jcq,F606W,58820.39844,2015VV169
306508,idy688jdq,F606W,58820.40234,2015VV169
306504,idy688jeq,F814W,58820.40625,2015VV169
306506,idy688jfq,F814W,58820.41016,2015VV169
307500,idy60yavq,F606W,58836.00781,2015GT58
308008,idxd02v8q,F606W,58844.35547,ANY
308005,idxd02vcq,F606W,58844.375,ANY
307950,ie4n0gvhq,F606W,58844.42188,ANY
307951,ie4n0gvjq,F814W,58844.4375,ANY
307948,ie4n0gvmq,F814W,58844.48828,ANY
307949,ie4n0gvrq,F606W,58844.50781,ANY
307953,ie4n0hvvq,F606W,58844.55469,ANY
307956,ie4n0hvxq,F814W,58844.57031,ANY
308064,ie4n0izmq,F606W,58845.34766,ANY
308063,ie4n0izoq,F814W,58845.36328,ANY
308220,ie6d05pzq,F814W,58849.84375,NGC-2020
309561,idxd52k7q,F606W,58862.35938,ANY
309560,idxd52kbq,F606W,58862.375,ANY
309557,idxd52keq,F606W,58862.42578,ANY
309562,idxd52kiq,F606W,58862.44141,ANY
310284,idxr17e9q,F814W,58875.69141,NGC-2903-N
310267,idxr17eeq,F336W,58875.70313,NGC-2903-N
310266,idxr17ekq,F555W,58875.71875,NGC-2903-N
310283,idxr17emq,F814W,58875.75781,NGC-2903-N
310278,idxr17erq,F336W,58875.76953,NGC-2903-N
310270,idxr17exq,F555W,58875.78516,NGC-2903-N
310331,idxr18j0q,F814W,58876.55469,NGC-2903-S
310323,idxr18j5q,F336W,58876.5625,NGC-2903-S
310341,idxr18jbq,F555W,58876.58203,NGC-2903-S
310328,idxr18jdq,F814W,58876.62109,NGC-2903-S
310336,idxr18jiq,F336W,58876.62891,NGC-2903-S
310340,idxr18joq,F555W,58876.64844,NGC-2903-S
311734,idy63atlq,F606W,58892.38281,2003YS179
311737,idy63atmq,F814W,58892.38672,2003YS179
311735,idy63atnq,F814W,58892.39063,2003YS179
311799,idxr01ysq,F814W,58893.41406,IC-1954
311814,idxr01yxq,F336W,58893.42578,IC-1954
311797,idxr01z3q,F555W,58893.44141,IC-1954
312033,ie4f04l9q,F814W,58895.17578,OGLE-2017-BLG-328
312036,ie4f04laq,F555W,58895.17969,OGLE-2017-BLG-328
312032,ie4f04lbq,F814W,58895.18359,OGLE-2017-BLG-328
312041,ie4f04lcq,F814W,58895.1875,OGLE-2017-BLG-328
312039,ie4f04ldq,F814W,58895.1875,OGLE-2017-BLG-328
312029,ie4f04leq,F814W,58895.19141,OGLE-2017-BLG-328
312040,ie4f04lfq,F814W,58895.19531,OGLE-2017-BLG-328
312034,ie4f04lgq,F555W,58895.19531,OGLE-2017-BLG-328
312037,ie4f04lhq,F555W,58895.19922,OGLE-2017-BLG-328
312038,ie4f04liq,F814W,58895.20313,OGLE-2017-BLG-328
312031,ie4f04ljq,F814W,58895.20703,OGLE-2017-BLG-328
312042,ie4f04lkq,F814W,58895.20703,OGLE-2017-BLG-328
311731,idy63atpq,F814W,58892.39844,2003YS179
313722,ie4f54azq,F555W,58917.09766,OGLE-2017-BLG-328
313733,ie4f54b0q,F555W,58917.09766,OGLE-2017-BLG-328
313729,ie4f54b1q,F814W,58917.10156,OGLE-2017-BLG-328
313725,ie4f54b2q,F814W,58917.10547,OGLE-2017-BLG-328
313724,ie4f54b4q,F814W,58917.10938,OGLE-2017-BLG-328
316443,idxr38brq,F814W,58964.61328,NGC-5068-V38
316452,idxr38c1q,F555W,58964.64063,NGC-5068-V38
